id,hw_no,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50
1,1,2.831425702,2.685571375,3.556236143,-0.328075699,0.131781401,2.274725605,2.166301449,0.587713706,2.981081179,5.471166684,6.83956354,2.126862199,-0.080377425,0.026193544,1.987643948,1.835846655,3.090085041,2.97470411,4.340189391,4.218503079,3.399612205,0.579093963,-1.040151271,-0.316387523,2.847102234,2.824733074,2.749431578,0.371599531,-0.142583879,3.319403309,0.020144833,2.116011088,2.636128737,2.200323959,2.465450792,2.55064312,3.701701392,2.088144677,0.116010374,2.552211271,3.500843838,0.116038909,0.020176921,2.682415274,3.63485752,-0.227934085,4.19715259,-1.351909453,-0.829330559,4.891780069
1,2,2.947671132,2.495596272,3.624557741,-0.226324901,0.141063641,1.992611031,1.981881941,0.613340271,3.427487826,1.596593019,1.905163124,0.974118296,-0.03671286,-0.02242792,1.669680579,1.634616838,3.436837158,3.641028782,1.045724667,1.130892054,3.276830012,0.665031455,-1.112636081,-0.172051794,2.636503035,2.737427252,2.878692672,3.818190025,-0.224187934,-0.339011259,0.108435392,1.997266123,2.494582659,1.921671135,3.530697858,3.045261294,2.584352309,-0.52748316,0.010511839,1.897994429,2.229540674,0.01045522,0.108456344,2.535141929,2.456193891,0.077852292,2.941515953,-1.248737111,-0.822704097,3.586543311
1,3,2.945767198,2.622488039,3.709959739,0.048517215,0.235562588,2.050205355,1.946939297,-0.36077174,-0.294643169,-0.294370496,-0.474460977,-0.463781031,-0.089246092,-0.031815351,1.702292207,1.575350522,-0.36057823,-0.318321398,-0.349720478,-0.351418152,-0.37792217,0.721090563,-1.222703241,-0.370086545,2.697776509,2.790820318,2.889115963,4.299739843,-0.469442798,-0.666767915,0.101426783,2.169284654,2.502193545,1.9366006,3.509715829,3.073412958,2.943743554,-0.305193203,-0.018169851,2.026419124,2.377621563,-0.01818535,0.101448762,2.647806451,2.620554148,0.060238097,3.202499479,-1.266775283,-0.827819586,5.366411617
2,1,3.522924685,2.901956699,4.751864113,-0.41209046,0.152910661,2.444580054,2.471078951,-0.320324638,4.206832374,6.955528599,5.441403344,0.155692101,0.043001117,-0.033418483,2.146625633,2.223145139,4.976124217,4.728858041,4.789496227,5.165485252,5.315884538,0.66478257,-1.0376124,0.848829871,3.06950225,3.127589837,2.794037839,3.818530182,-0.148634089,-0.235443339,0.072438921,2.165090411,2.434505035,2.527645144,2.702014256,1.00524775,2.384387702,1.258518227,0.24046916,1.533372086,1.376940861,0.240489005,0.072451871,2.61063707,1.704148416,0.480806635,2.314279774,-1.141647361,-0.826165829,-0.685140622
2,2,3.366938326,2.788785975,4.734783713,-0.308479035,0.121076359,2.231773905,2.429341905,-0.137248873,3.552546263,-0.198571114,0.357912431,0.110180657,-0.199923545,-0.045106316,1.84360926,2.192822838,3.584505793,3.939658234,0.641697269,0.611905829,3.313711283,0.740600279,-1.112752578,0.365653314,2.94536673,3.058508961,2.865325972,0.114667135,-0.476821103,3.37635998,0.109972817,2.012536398,2.478561015,2.424927835,3.069595649,2.161757354,2.516561923,-0.321996979,0.241161626,1.56104079,1.464479202,0.241170923,0.109986736,2.536628705,1.776299276,0.400873132,2.323633729,-1.154137315,-0.822773641,-0.922456396
2,3,3.49750587,2.807387472,4.632301316,-0.246455703,0.136914889,2.192726905,2.518639772,-0.298024245,4.444887043,-0.249770006,1.118142928,0.351845005,-0.018901386,-0.020732361,1.854479802,2.234171431,5.265474428,4.995534555,1.534082418,1.556211817,4.977232188,0.763614902,-1.17274074,0.195407034,2.963294895,3.146944313,2.915178528,-0.256218068,-0.206037303,3.935808647,0.155787245,1.804236402,3.00414481,2.372467275,3.468080928,2.560463467,2.763196294,-0.407456185,0.184073767,1.742563914,1.793474406,0.184117089,0.155817932,2.672916432,2.087655683,0.298703169,2.723958206,-1.202068365,-0.828918579,-0.685140622
3,1,3.226621903,2.430142431,4.495658119,-0.232858366,0.144899159,1.559189332,1.998382633,-0.210787388,2.470964032,0.219615442,1.503172048,0.469699795,-0.035942881,0.066536844,1.063647833,1.567080803,2.558818456,2.790086708,1.541150543,1.475311324,2.515663278,1.211678374,-1.405048175,-0.496330054,2.572052418,2.472607534,2.715066297,0.117161624,-0.353160708,3.305874678,-0.038850758,2.071921169,2.308053087,1.970055537,4.400554713,3.032822188,3.724865946,0.333830412,0.10348971,2.577141542,2.492521576,0.103537073,-0.03886397,2.487234728,2.981907209,-0.119506584,3.36855387,-1.301649098,-0.820432791,-0.803798509
3,2,3.290799632,2.40225413,4.324854124,-0.156460119,0.104556283,1.642164207,1.959557474,-0.379237634,3.397141991,0.184602059,0.448837251,-0.183942365,-0.153306782,0.055787375,1.2212707,1.56845909,3.418599665,3.810797346,0.056840054,0.219622712,3.134468616,1.330952561,-1.655382795,-0.471400679,2.52462221,2.551982815,2.996702174,2.679228893,-0.401709956,0.929951557,0.055602328,2.169404338,2.462036638,1.994498428,3.686359886,3.192239164,4.028389736,0.203721171,0.163677118,2.93373607,2.310534623,0.163659539,0.055617565,2.627404591,3.04657354,-0.089182226,3.579945638,-1.30728883,-0.826915889,0.620096136
3,3,3.306042418,2.473090414,4.47857772,-0.316517454,0.076033023,1.805185431,2.188625915,-0.400924748,2.816882916,-0.205430405,0.319329442,-0.144527469,-0.122058109,0.067753775,1.376175931,1.877195248,2.514158434,3.010870182,0.393231372,0.459545512,2.342076326,1.313843776,-1.571117114,-0.456323691,2.576137316,2.573798072,2.727731862,0.289054613,-0.405251543,3.139097358,0.03327918,1.947512331,2.470274067,1.886115124,4.797289837,3.857731387,4.626239626,0.070251175,0.019957237,3.682555855,2.518372346,0.020002077,0.033306069,2.491282061,3.571987476,-0.272904458,3.903781508,-1.347647185,-0.82062699,-0.803798509
4,1,3.802690399,4.489163545,4.546899318,-0.243541982,0.272514135,4.221218548,4.131825152,1.161109606,2.994849683,0.585771441,0.772424779,1.236624333,-0.059632466,-0.018558319,4.396827938,3.849523116,2.515159908,2.806597009,0.542223921,0.50205699,2.333266462,-0.858616961,-0.708410763,-0.947783391,4.433404388,4.133684979,2.841759857,-0.504419752,0.12067405,4.140216024,-0.099655928,2.281150072,2.34937298,3.924888846,1.672894186,1.032417379,1.061282874,-0.135235006,0.392926637,0.908217123,0.589215774,0.392897753,-0.099676894,2.64062037,0.859893544,1.218010078,1.546407248,-0.935603909,-0.827502391,0.501438249
4,2,4.124431669,4.150125476,4.444416921,-0.224180344,0.260669986,3.64332295,3.575654741,2.570120303,4.111305998,0.278196006,0.497102387,2.472522323,-0.038341564,-0.041794146,3.563872616,3.136949036,3.547162599,3.449866932,0.150519641,0.271358486,3.251721122,-0.356989215,-1.524016721,-1.0042963,4.1719709,4.097608803,3.095062153,3.99541215,-0.424730268,-0.387555169,0.000619012,2.069959091,2.588440002,3.828398382,1.285136297,1.324736393,1.167907954,-0.082423137,0.477189,1.131497051,0.86865992,0.47722832,0.00060402,2.628973965,1.160172848,0.898968769,1.820337768,-1.024605519,-0.826985751,0.145464587
4,3,4.241005932,5.001834173,4.512738519,-0.201348919,0.336642774,3.903961674,3.919257403,-0.211092197,-0.261631085,0.680224903,0.368322559,-0.228993023,-0.051335728,-0.017217573,3.861453718,3.480142355,-0.275181919,-0.283339059,0.459777591,0.447012997,-0.182121516,-0.593376353,-1.458788617,-1.082007018,4.467445207,4.193301957,2.979393588,2.807128162,-0.476821103,0.722815716,-0.087144557,2.090151237,2.447908889,4.194900619,1.680244972,0.782653205,1.265335344,1.919146696,0.532677885,1.59686752,1.642630455,0.532691011,-0.087111575,2.570081147,1.912517704,0.341416286,2.474911295,-1.176223886,-0.824323668,0.204793531
5,1,3.298636742,3.929529019,4.632301316,-0.219536151,0.233168176,3.894199924,3.925081177,-0.254914449,3.402589016,5.795937648,4.600439761,0.173662741,-0.084514854,-0.009939177,3.660348681,3.43603719,3.46997669,3.815595503,4.603928131,4.303600057,3.727182737,-0.153711803,0.67326522,-1.492635832,4.073479465,4.11759084,3.119913356,4.553950978,-0.193494184,-0.899937843,0.057951804,1.97019796,2.78002617,3.686937098,1.482367885,-0.883859785,2.819745058,5.295745555,0.444803488,0.948963449,3.031608082,0.444837199,0.057953426,2.663582788,2.493915918,0.114900047,3.09876433,-1.253012486,-0.828511763,-0.15118013
5,2,2.997167358,3.644036487,4.529818918,-0.215970245,0.158100418,3.322161376,3.624186191,-0.425132837,3.700324701,0.964579144,1.271528513,-0.072219568,-0.020392962,-0.006289457,3.027139578,3.17416277,4.43495439,4.208266296,0.78155565,0.702201438,4.08534178,-0.048160526,0.275431676,-1.104905062,3.844952101,3.914094646,3.088881695,0.420128686,-0.476821103,3.228454531,0.071954663,2.020503784,2.694315243,3.413505416,1.434810463,1.93196122,2.082226533,-0.534684779,0.400482128,1.786391268,0.768505413,0.400512507,0.07196859,2.651688586,1.433507847,0.68628541,2.0913292,-1.089081193,-0.827990446,2.399964441
5,3,3.207214971,3.774944169,4.529818918,-0.296140483,0.199293599,3.6140377,3.798899409,0.753428272,4.505171825,1.396314382,2.912106362,1.653529007,-0.042886713,-0.038877549,3.422555563,3.334043994,4.925916324,4.671518066,2.169062275,2.327955141,4.808997103,-0.111967317,0.359296071,-1.098318257,3.975668845,3.957267639,2.999181189,1.216891242,-0.299889345,2.418328297,0.026992195,1.93641727,2.782558301,3.480210799,1.623834624,1.401989794,1.910195653,0.635338173,0.368194948,0.987114226,1.766740081,0.368235039,0.027023409,2.643511322,1.678401636,0.513536135,2.31518498,-1.137047521,-0.827630143,-0.329166961
6,1,2.099585476,2.620647411,2.87302016,-0.280827124,0.173659415,2.725718453,2.50116845,-0.375718867,0.984477545,-0.275120426,0.641169816,0.057083973,-0.056407791,-0.055457197,2.739070201,2.367865214,1.012060948,1.153341856,0.838290166,0.918773104,1.061818174,0.437876581,0.467158034,1.219867879,2.745206716,2.682498015,2.857477655,-0.10518808,-0.244994754,3.748113108,-0.00875657,2.002484465,2.706619063,2.764031136,1.45061217,2.588615131,1.814471539,0.006876932,0.699825028,3.762280175,0.638318169,0.699874656,-0.008739423,2.646567471,2.371768404,0.157748898,2.967902759,-1.238856566,-0.827764983,1.332043458
6,2,1.713168332,2.497883113,2.941341758,-0.32093236,0.159260125,2.725718453,2.407988067,-0.37105276,-0.276029605,-0.283087714,-0.466889975,-0.476009573,-0.037850588,-0.030213305,2.815163999,2.301707465,-0.372336236,-0.379877471,-0.34209742,-0.368317973,-0.394744297,0.608885611,0.603424808,1.608373292,2.666005078,2.742331268,2.993395146,-0.334794481,0.167009806,4.003679172,0.090054096,1.899333547,2.870661411,2.62208188,0.45008114,0.295891308,0.651134004,-0.162601156,0.641271859,-0.068484762,0.310006585,0.641229679,0.090091647,2.664986964,0.169221206,2.419947891,0.90885119,-0.599624649,-0.828573092,6.078358939
6,3,2.032319129,2.635093551,3.282949749,-0.360207598,0.23916479,2.867263827,2.58755443,-0.351833283,-0.27329953,-0.104378372,-0.201031335,-0.386262708,-0.039766207,-0.03880813,2.942892874,2.465723549,-0.285818247,-0.275689894,-0.221676646,-0.227425392,-0.292483925,0.56382339,0.847198306,0.753198967,2.811699782,2.753427632,2.948546996,1.40034959,0.348220981,2.268035443,-0.004713257,2.008597367,2.740990438,2.770089641,0.618202733,-0.883859785,0.089393566,3.313380037,0.646359861,1.670068882,0.593697526,0.646344067,-0.004712077,2.667960515,1.257771106,0.836190519,1.936854617,-1.049163521,-0.828702818,4.06117486
